Statement,Header,Nombre del campo,Valor del campo
Statement,Data,Title,Transaction History
Statement,Data,Period,"Abril 29, 2020 - Diciembre 26, 2025"
Statement,Data,WhenGenerated,"2025-12-28, 15:21:07 EST"
Summary,Header,Nombre del campo,Valor del campo
Summary,Data,Divisa base,USD
Summary,Data,Efectivo inicial,0.0
Summary,Data,Cambio,320.438476139
Summary,Data,Efectivo final,320.438476139
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Gross Amount ,Commission,Net Amount
Transaction History,Data,2025-12-18,U***7847,NU HOLDINGS LTD/CAYMAN ISL-A,Buy,NU,12.0,16.2993,-195.5916,-1.0,-196.5916
Transaction History,Data,2025-12-17,U***7847,ROCKET LAB CORP,Sell,RKLB,-4.0,53.72,214.88,-1.000664,213.879336
Transaction History,Data,2025-12-09,U***7847,ROCKET LAB CORP,Buy,RKLB,4.0,53.5,-214.0,-1.0,-215.0
Transaction History,Data,2025-11-18,U***7847,DATADOG INC - CLASS A,Sell,DDOG,-1.0,176.835,176.835,-1.000188,175.834812
Transaction History,Data,2025-11-18,U***7847,DATADOG INC - CLASS A,Sell,DDOG,-0.2,177.0,35.4,-3.76E-5,35.3999624
Transaction History,Data,2025-11-13,U***7847,TTM TECHNOLOGIES,Sell,TTMI,-0.1,62.21,6.221,-0.0622288,6.1587712
Transaction History,Data,2025-11-13,U***7847,TTM TECHNOLOGIES,Sell,TTMI,-3.0,62.22,186.66,-0.938354,185.721646
Transaction History,Data,2025-11-03,U***7847,DATADOG INC - CLASS A,Buy,DDOG,1.0,165.0,-165.0,-1.000022,-166.000022
Transaction History,Data,2025-11-03,U***7847,DATADOG INC - CLASS A,Buy,DDOG,0.2,164.89,-32.978,-4.4E-6,-32.9780044
Transaction History,Data,2025-11-03,U***7847,UBER TECHNOLOGIES INC,Buy,UBER,2.0,98.4091,-196.8182,-1.000044,-197.818244
Transaction History,Data,2025-10-31,U***7847,TTM TECHNOLOGIES,Buy,TTMI,3.0,64.425,-193.275,-1.000066,-194.275066
Transaction History,Data,2025-10-31,U***7847,TTM TECHNOLOGIES,Buy,TTMI,0.1,64.59,-6.459,-2.2E-6,-6.4590022
Transaction History,Data,2025-10-30,U***7847,TTM TECHNOLOGIES,Sell,TTMI,-3.0,59.368,178.104,-1.000564,177.10343600000002
Transaction History,Data,2025-10-30,U***7847,TTM TECHNOLOGIES,Sell,TTMI,-0.2,59.3,11.86,-3.76E-5,11.859962399999999
Transaction History,Data,2025-10-29,U***7847,TTM TECHNOLOGIES,Buy,TTMI,0.15,62.81,-9.4215,-0.0942183,-9.5157183
Transaction History,Data,2025-10-29,U***7847,TTM TECHNOLOGIES,Buy,TTMI,3.0,62.79,-188.37,-0.905851,-189.27585100000002
Transaction History,Data,2025-10-29,U***7847,TTM TECHNOLOGIES,Sell,TTMI,-3.0,62.61,187.83,-1.000564,186.82943600000002
Transaction History,Data,2025-10-29,U***7847,TTM TECHNOLOGIES,Sell,TTMI,-0.15,62.52,9.378,-2.82E-5,9.377971800000001
Transaction History,Data,2025-10-29,U***7847,TTM TECHNOLOGIES,Buy,TTMI,0.2,62.62,-12.524,-0.1252444,-12.649244399999999
Transaction History,Data,2025-10-29,U***7847,TTM TECHNOLOGIES,Buy,TTMI,3.0,62.61,-187.83,-0.874826,-188.70482600000003
Transaction History,Data,2025-10-01,U***7847,SPORTRADAR GROUP AG-A,Sell,SRAD,-25.0,26.46,661.5,-1.0047,660.4953
Transaction History,Data,2025-06-18,U***7847,BIGBEAR.AI HOLDINGS INC,Sell,BBAI,-100.0,4.03,403.0,-1.0201,401.9799
Transaction History,Data,2025-06-18,U***7847,BIGBEAR.AI HOLDINGS INC,Sell,BBAI,-60.0,4.03,241.8,-0.01206,241.78794000000002
Transaction History,Data,2025-06-18,U***7847,SPORTRADAR GROUP AG-A,Buy,SRAD,25.0,25.41,-635.25,-1.00115,-636.25115
Transaction History,Data,2025-06-17,U***7847,BIGBEAR.AI HOLDINGS INC,Buy,BBAI,160.0,4.225,-676.0,-1.00736,-677.00736
Transaction History,Data,2025-06-03,U***7847,BIGBEAR.AI HOLDINGS INC,Sell,BBAI,-180.0,3.9,702.0,-1.03618,700.96382
Transaction History,Data,2025-03-24,U***7847,BIGBEAR.AI HOLDINGS INC,Buy,BBAI,180.0,3.398,-611.64,-1.00828,-612.64828
Transaction History,Data,2025-02-20,U***7847,PALANTIR TECHNOLOGIES INC-A,Sell,PLTR,-6.0,104.645,627.87,-1.018726786,626.851273214
Transaction History,Data,2024-07-19,U***7847,TESLA INC,Sell,TSLA,-0.7,241.61,169.127,-1.004817931,168.12218206900002
Transaction History,Data,2024-07-19,U***7847,PALANTIR TECHNOLOGIES INC-A,Buy,PLTR,6.0,29.45,-176.7,-1.0,-177.7
Transaction History,Data,2022-10-03,U***7847,TESLA INC,Buy,TSLA,0.7,245.67,-171.969,-1.0,-172.969
Transaction History,Data,2022-09-29,U***7847,TESLA INC,Buy,TSLA,0.7,268.58,-188.006,-1.0,-189.006
Transaction History,Data,2022-09-29,U***7847,TESLA INC,Sell,TSLA,-0.7,268.5,187.95,-1.004395055,186.94560494499999
Transaction History,Data,2022-09-27,U***7847,TESLA INC,Buy,TSLA,0.65,287.9,-187.135,-1.0,-188.135
Transaction History,Data,2022-09-27,U***7847,TESLA INC,Sell,TSLA,-0.65,282.87,183.8655,-1.00429502,182.86120498
Transaction History,Data,2022-09-20,U***7847,TESLA INC,Sell,TSLA,-0.6,306.04,183.624,-1.00428299,182.61971701
Transaction History,Data,2022-09-06,U***7847,TESLA INC,Sell,TSLA,-0.5,266.11,133.055,-1.003111959,132.051888041
Transaction History,Data,2022-09-06,U***7847,TESLA INC,Buy,TSLA,0.6,266.62,-159.972,-1.0,-160.972
Transaction History,Data,2022-09-01,U***7847,TESLA INC,Buy,TSLA,0.5,274.84,-137.42,-1.0,-138.42
Transaction History,Data,2022-06-23,U***7847,GITLAB INC-CL A,Sell,GTLB,-3.0,53.6,160.8,-1.00407232,159.79592768
Transaction History,Data,2022-04-28,U***7847,GITLAB INC-CL A,Buy,GTLB,3.0,47.48,-142.44,-1.0,-143.44
Transaction History,Data,2021-12-02,U***7847,J*****04:US Consolidated Snapshot for Nov 2021,Other Fee,-,-,-,-0.01,-,-0.01
Transaction History,Data,2021-12-02,U***7847,J*****04:US Consolidated Snapshot for Nov 2021,Other Fee,-,-,-,0.01,-,0.01
Transaction History,Data,2021-11-22,U***7847,GITLAB INC-CL A,Sell,GTLB,-1.0,105.45,105.45,-1.000656795,104.449343205
Transaction History,Data,2021-11-17,U***7847,SOFI TECHNOLOGIES INC,Sell,SOFI,-3.0,21.19,63.57,-0.645381207,62.924618793
Transaction History,Data,2021-11-16,U***7847,JUPITER WELLNESS INC,Sell,JUPW,-6.0,1.462,8.772,-0.088478737,8.683521263
Transaction History,Data,2021-11-02,U***7847,J*****04:US Consolidated Snapshot for Oct 2021,Other Fee,-,-,-,-0.01,-,-0.01
Transaction History,Data,2021-11-02,U***7847,J*****04:US Consolidated Snapshot for Oct 2021,Other Fee,-,-,-,0.01,-,0.01
Transaction History,Data,2021-10-21,U***7847,JUPITER WELLNESS INC,Buy,JUPW,6.0,1.848,-11.088,-0.11088,-11.198879999999999
Transaction History,Data,2021-10-14,U***7847,GITLAB INC,Buy,GTLB,1.0,94.775,-94.775,-0.94865,-95.72365
Transaction History,Data,2021-10-13,U***7847,SOFI TECHNOLOGIES INC,Buy,SOFI,3.0,19.24,-57.72,-0.5772,-58.2972
Transaction History,Data,2021-10-04,U***7847,J*****04:US Consolidated Snapshot for Sep 2021,Other Fee,-,-,-,-0.03,-,-0.03
Transaction History,Data,2021-10-04,U***7847,J*****04:US Consolidated Snapshot for Sep 2021,Other Fee,-,-,-,0.03,-,0.03
Transaction History,Data,2021-09-09,U***7847,COUCHBASE INC,Sell,BASE,-3.0,40.0,120.0,-1.000969,118.999031
Transaction History,Data,2021-09-07,U***7847,COUCHBASE INC,Buy,BASE,3.0,47.68,-143.04,-1.0,-144.04
Transaction History,Data,2021-07-05,U***7847,Balance tarifa mensual mínima para Jun 2021,Other Fee,-,-,-,-20.0,-,-20.0
Transaction History,Data,2021-06-03,U***7847,J*****04:US Consolidated Snapshot for May 2021,Other Fee,-,-,-,-0.04,-,-0.04
Transaction History,Data,2021-06-03,U***7847,J*****04:US Consolidated Snapshot for May 2021,Other Fee,-,-,-,0.04,-,0.04
Transaction History,Data,2021-06-03,U***7847,Balance tarifa mensual mínima para May 2021,Other Fee,-,-,-,-20.0,-,-20.0
Transaction History,Data,2021-05-05,U***7847,J*****04:US Consolidated Snapshot for Abr 2021,Other Fee,-,-,-,-0.09,-,-0.09
Transaction History,Data,2021-05-05,U***7847,J*****04:US Consolidated Snapshot for Abr 2021,Other Fee,-,-,-,0.09,-,0.09
Transaction History,Data,2021-05-05,U***7847,Balance tarifa mensual mínima para Abr 2021,Other Fee,-,-,-,-13.76,-,-13.76
Transaction History,Data,2021-04-20,U***7847,COUPANG INC,Sell,CPNG,-2.0,43.2938,86.5876,-0.866555597,85.721044403
Transaction History,Data,2021-04-19,U***7847,AMERICAN OUTDOOR BRANDS INC,Sell,AOUT,-2.0,25.3038,50.6076,-0.506572099,50.101027900999995
Transaction History,Data,2021-04-16,U***7847,PINTEREST INC- CLASS A,Sell,PINS,-1.0,76.49,76.49,-0.765409099,75.724590901
Transaction History,Data,2021-04-12,U***7847,ATOSSA THERAPEUTICS INC,Sell,ATOS,-20.0,1.925,38.5,-0.38757635,38.11242365
Transaction History,Data,2021-04-12,U***7847,PINTEREST INC- CLASS A,Buy,PINS,1.0,82.24,-82.24,-0.8224,-83.0624
Transaction History,Data,2021-04-08,U***7847,AMERICAN OUTDOOR BRANDS INC,Buy,AOUT,2.0,27.2,-54.4,-0.544,-54.943999999999996
Transaction History,Data,2021-04-07,U***7847,ARMSTRONG FLOORING INC,Sell,AFI,-20.0,5.1,102.0,-1.0029002,100.9970998
Transaction History,Data,2021-04-06,U***7847,COUPANG INC,Buy,CPNG,2.0,46.55,-93.1,-0.931,-94.03099999999999
Transaction History,Data,2021-04-06,U***7847,ATOSSA THERAPEUTICS INC,Buy,ATOS,20.0,2.06,-41.2,-0.412,-41.612
Transaction History,Data,2021-04-05,U***7847,J*****04:US Consolidated Snapshot for Mar 2021,Other Fee,-,-,-,-0.15,-,-0.15
Transaction History,Data,2021-04-05,U***7847,J*****04:US Consolidated Snapshot for Mar 2021,Other Fee,-,-,-,0.15,-,0.15
Transaction History,Data,2021-04-05,U***7847,J*****04:Global Snapshot PNP for Mar 2021,Other Fee,-,-,-,-0.03,-,-0.03
Transaction History,Data,2021-04-05,U***7847,J*****04:Global Snapshot PNP for Mar 2021,Other Fee,-,-,-,0.03,-,0.03
Transaction History,Data,2021-04-02,U***7847,Balance tarifa mensual mínima para Mar 2021,Other Fee,-,-,-,-14.15,-,-14.15
Transaction History,Data,2021-03-25,U***7847,FOLEY TRASIMENE ACQUISITI-A,Sell,BFT,-4.0,14.16,56.64,-0.567164864,56.072835136
Transaction History,Data,2021-03-23,U***7847,TILRAY INC-CLASS 2 COMMON,Sell,TLRY,-2.0,22.82,45.64,-0.456870764,45.183129236
Transaction History,Data,2021-03-19,U***7847,SKILLZ INC,Sell,SKLZ,-2.0,24.0,48.0,-0.4864828,47.5135172
Transaction History,Data,2021-03-16,U***7847,FOLEY TRASIMENE ACQUISITI-A,Buy,BFT,4.0,16.37,-65.48,-0.6548,-66.1348
Transaction History,Data,2021-03-15,U***7847,SKILLZ INC,Buy,SKLZ,2.0,31.14,-62.28,-0.6228,-62.9028
Transaction History,Data,2021-03-15,U***7847,TILRAY INC-CLASS 2 COMMON,Buy,TLRY,2.0,30.6,-61.2,-0.612,-61.812000000000005
Transaction History,Data,2021-03-04,U***7847,AYRO INC,Sell,AYRO,-20.0,5.86,117.2,-1.00297772,116.19702228
Transaction History,Data,2021-03-04,U***7847,DESKTOP METAL INC-A,Sell,DM,-4.0,17.22,68.88,-0.689627288,68.190372712
Transaction History,Data,2021-03-03,U***7847,DESKTOP METAL INC-A,Buy,DM,4.0,19.0,-76.0,-0.76,-76.76
Transaction History,Data,2021-03-03,U***7847,J*****04:US Consolidated Snapshot for Feb 2021,Other Fee,-,-,-,-0.2,-,-0.2
Transaction History,Data,2021-03-03,U***7847,J*****04:US Consolidated Snapshot for Feb 2021,Other Fee,-,-,-,0.2,-,0.2
Transaction History,Data,2021-03-02,U***7847,Balance tarifa mensual mínima para Feb 2021,Other Fee,-,-,-,-11.69,-,-11.69
Transaction History,Data,2021-02-26,U***7847,YATSEN HOLDING LTD-ADR,Sell,YSG,-5.0,17.0,85.0,-0.8660285,84.1339715
Transaction History,Data,2021-02-24,U***7847,AYRO INC,Buy,AYRO,20.0,7.39,-147.8,-1.0,-148.8
Transaction History,Data,2021-02-24,U***7847,YATSEN HOLDING LTD-ADR,Buy,YSG,5.0,19.0,-95.0,-0.965,-95.965
Transaction History,Data,2021-02-23,U***7847,TENCENT MUSIC ENTERTAINM-ADR,Sell,TME,-5.0,22.905,114.525,-1.001179078,113.523820922
Transaction History,Data,2021-02-19,U***7847,AYRO INC,Sell,AYRO,-10.0,7.88,78.8,-0.82093148,77.97906852
Transaction History,Data,2021-02-18,U***7847,AGEAGLE AERIAL SYSTEMS INC,Sell,UAVS,-5.0,12.32,61.6,-0.63295636,60.96704364
Transaction History,Data,2021-02-10,U***7847,AGEAGLE AERIAL SYSTEMS INC,Buy,UAVS,5.0,15.28,-76.4,-0.7775,-77.17750000000001
Transaction History,Data,2021-02-10,U***7847,AYRO INC,Buy,AYRO,10.0,7.86,-78.6,-0.816,-79.416
Transaction History,Data,2021-02-05,U***7847,GOPRO INC-CLASS A,Sell,GPRO,-10.0,9.34,93.4,-0.96425414,92.43574586000001
Transaction History,Data,2021-02-03,U***7847,J*****04:US Consolidated Snapshot for Ene 2021,Other Fee,-,-,-,-0.03,-,-0.03
